zip_code,vehicle_count
98052,5405
98012,4087
98033,3590
98006,3419
98004,3257
98188,3257
98115,3182
98074,2959
98072,2847
98034,2767
98040,2678
98103,2542
98075,2462
98501,2388
98059,2379
98021,2376
98029,2241
98117,2081
98053,2050
98110,2015
98607,1949
98027,1921
98038,1863
98118,1834
98258,1809
98008,1795
98105,1724
98391,1696
98112,1692
98133,1669
98125,1660
98005,1597
98109,1593
98042,1582
98058,1525
98122,1516
98155,1514
98056,1484
98144,1453
98199,1439
98208,1423
98011,1421
98036,1400
98026,1389
98296,1377
98087,1369
98116,1359
98177,1298
98682,1278
98092,1264
98225,1251
98028,1250
98031,1244
98229,1226
98107,1224
98057,1208
98335,1180
98270,1179
98007,1168
98642,1153
98290,1119
98226,1098
98502,1070
98023,1064
98119,1048
98065,1009
98272,982
98126,967
98037,964
98685,960
98020,959
98121,959
98275,937
98106,934
98001,930
98102,929
98370,910
98374,909
98104,902
98332,900
98683,898
98516,898
98136,897
98168,874
98045,850
98108,842
98221,828
98312,799
98661,798
99352,797
98146,776
98032,771
98055,766
98513,760
98367,751
98030,747
98178,747
98070,741
99301,740
98503,732
98166,729
98368,723
98003,722
98101,721
98604,720
98203,711
98382,711
98671,711
98512,709
98407,705
98019,705
98148,704
98686,704
99208,695
98422,694
98223,687
98466,682
98198,671
98662,671
98684,659
98134,608
98366,606
98506,600
98277,598
98665,594
98204,573
98043,569
98282,556
99223,547
98292,543
98801,543
98387,531
98371,530
98201,510
98584,507
98406,500
99203,500
98230,493
98498,487
98271,486
98250,479
98372,477
98664,469
99224,468
98010,464
98311,458
98375,457
99338,452
98248,444
98338,434
99362,430
98273,428
98014,424
98022,423
98383,418
98837,414
98632,414
98908,402
99212,398
98531,396
98373,391
98660,389
98467,383
98274,376
98404,376
98597,371
98039,371
98606,364
98926,359
98499,359
98409,357
98362,357
98002,355
98802,349
99354,345
98445,345
98405,341
99336,339
98245,331
99206,330
99163,329
99337,328
98346,321
99016,319
98310,313
98024,313
98663,305
98321,304
98284,303
98826,299
98260,299
98264,294
99019,293
99353,286
98922,286
98329,278
98444,276
98233,272
98239,270
98532,266
98236,258
99205,254
98390,252
98333,245
98408,242
98294,242
98629,239
98327,237
98674,233
98672,232
98626,228
98249,222
98424,211
98363,201
98520,200
98816,199
98902,198
98365,196
99004,195
98403,190
99037,189
99202,188
98360,186
98388,185
98252,184
98446,182
99216,178
98528,173
99201,172
98439,165
98901,164
98569,163
98402,161
99005,160
98580,156
98328,155
99217,155
98261,151
98625,148
98433,143
98579,140
98465,137
99218,137
98418,134
99026,130
99207,128
98354,127
98848,127
98337,123
98903,122
98232,122
98359,119
98942,118
98862,116
98349,116
98380,115
98589,115
98051,115
98257,115
98611,104
98563,102
98247,101
98823,100
98253,99
98815,95
98831,94
99021,94
98443,93
98047,90
98524,89
99350,88
99006,85
99320,85
98077,85
98340,85
98640,84
98251,81
98541,80
99324,80
98944,79
98392,77
98546,77
99403,77
99204,76
98596,76
98576,75
99022,74
98281,72
98550,68
98843,67
98675,67
99114,65
98504,64
99027,63
99344,62
98342,61
98592,61
98612,58
98244,58
98376,57
98648,57
98856,57
98358,55
98548,55
98577,54
98631,54
98940,54
98339,53
99025,50
98262,50
99156,50
98303,48
98279,47
98557,47
98930,47
98237,46
99001,45
98936,43
99003,43
98591,42
98953,42
98570,41
98266,38
98620,38
98651,37
98588,37
98325,36
99349,36
98068,35
98595,35
98650,34
98240,34
99141,34
98564,33
99009,33
98635,32
99036,31
98645,31
98937,30
99111,29
98571,29
98320,28
98822,28
98851,28
98828,28
