zip_code,median_household_income
98001,88962
98002,59097
98003,59560
98004,142173
98005,135225
98006,156382
98007,101847
98008,131952
98010,125652
98011,103421
98012,118544
98014,118808
98019,142064
98020,95682
98021,129215
98022,90223
98023,82566
98024,158168
98026,98415
98027,121620
98028,115093
98029,134424
98030,71014
98031,82241
98032,62620
98033,137378
98034,100955
98036,82684
98037,82667
98038,114804
98039,185163
98040,150506
98042,105166
98043,80738
98045,111767
98047,64942
98050,142316
98051,94453
98052,136208
98053,151525
98055,80586
98056,95074
98057,57598
98058,92216
98059,109565
98065,150015
98068,97607
98070,78368
98072,127724
98074,196146
98075,188500
98077,160441
98087,87320
98092,96121
98101,91550
98102,97374
98103,105480
98104,58018
98105,67449
98106,74608
98107,102436
98108,62530
98109,107330
98110,125861
98112,122388
98115,117038
98116,121967
98117,131508
98118,85541
98119,93014
98121,118270
98122,81308
98125,78263
98126,84934
98133,73702
98134,71607
98136,123042
98144,87098
98146,80633
98148,70050
98155,107109
98164,240573
98166,87882
98168,66237
98177,125036
98178,84820
98188,64206
98198,66938
98199,134709
98201,59357
98203,80556
98204,57318
98205,97009
98208,90844
98220,88446
98221,77036
98222,96458
98223,83116
98224,46250
98225,53093
98226,67142
98229,75099
98230,69060
98232,88551
98233,65336
98236,85943
98237,58063
98239,71121
98240,80474
98241,45089
98243,72560
98244,42324
98245,55160
98247,61213
98248,71164
98249,76614
98250,71567
98251,73293
98252,84257
98253,81165
98255,29375
98257,70278
98258,96165
98260,86027
98261,63143
98262,75294
98263,97813
98264,72397
98266,35274
98270,84957
98271,83047
98272,95190
98273,64699
98274,79127
98275,102818
98276,73583
98277,61373
98279,54107
98280,62500
98281,52692
98282,85811
98283,75165
98284,69994
98286,66667
98288,50625
98290,104091
98292,84489
98294,69458
98295,80121
98296,143106
98297,31875
98303,62440
98304,55556
98310,58636
98311,80439
98312,68195
98315,66736
98320,50711
98321,102135
98323,84038
98325,49313
98326,40753
98327,93405
98328,90636
98329,95769
98331,40513
98332,102352
98333,125547
98335,109031
98336,64712
98337,55433
98338,83394
98339,53239
98340,64750
98342,72955
98345,47650
98346,95103
98349,73308
98350,35000
98351,51109
98354,76582
98356,42386
98357,48250
98358,57083
98359,82870
98360,89732
98361,41763
98362,53743
98363,60147
98365,74818
98366,70330
98367,88722
98368,56141
98370,85299
98371,81699
98372,81776
98373,79943
98374,88882
98375,89202
98376,67773
98377,39229
98380,95443
98381,80952
98382,56392
98383,88893
98385,88625
98387,80272
98388,85083
98390,70374
98391,104406
98392,69583
98394,106190
98396,82031
98402,57083
98403,61863
98404,57813
98405,60255
98406,82732
98407,86594
98408,58961
98409,57922
98418,60649
98422,97106
98424,78243
98433,44064
98439,38415
98443,95851
98444,52589
98445,70241
98446,85875
98465,59163
98466,74179
98467,76904
98498,72711
98499,50037
98501,78324
98502,74031
98503,66021
98506,76835
98512,78845
98513,87145
98516,83249
98520,50022
98524,93894
98526,55417
98527,39375
98528,60415
98530,50417
98531,45972
98532,66685
98533,53894
98537,60735
98538,52813
98541,52029
98542,53250
98546,75707
98547,42532
98548,51198
98550,46622
98552,48947
98555,56000
98557,57589
98560,86467
98563,63328
98564,45109
98565,58611
98568,60179
98569,47399
98570,65161
98572,63523
98575,63958
98576,69033
98577,59603
98579,77108
98580,80864
98581,29960
98583,41964
98584,60388
98585,53125
98586,45446
98587,39821
98588,60781
98589,70040
98590,90898
98591,64919
98592,68371
98593,46850
98595,53750
98596,64896
98597,73664
98601,85000
98602,36250
98603,61875
98604,86980
98605,71458
98606,105417
98607,109621
98610,58574
98611,64829
98612,56250
98613,68500
98614,40323
98616,64250
98617,57772
98619,48889
98620,48522
98621,61979
98624,51786
98625,92770
98626,59058
98628,35125
98629,100275
98631,46186
98632,51188
98635,50134
98638,49929
98639,73145
98640,49600
98642,97288
98643,86458
98644,24821
98645,79821
98648,63750
98649,54087
98650,61964
98651,107188
98660,50407
98661,59466
98662,71059
98663,62835
98664,67007
98665,69524
98670,25417
98671,91505
98672,68594
98673,31250
98674,75487
98675,78047
98682,76299
98683,71835
98684,71667
98685,106059
98686,86543
98801,62595
98802,71093
98811,89609
98812,47717
98813,48500
98814,53298
98815,61672
98816,56582
98817,71279
98819,28333
98821,112318
98822,47000
98823,70472
98824,40313
98826,61470
98827,65110
98828,69362
98829,36607
98830,51771
98831,52070
98832,50625
98833,69615
98834,61111
98836,40653
98837,60793
98840,50788
98841,48829
98843,56168
98844,43306
98845,46875
98846,66622
98847,52442
98848,64893
98849,44632
98850,52094
98851,47643
98855,38933
98856,50625
98857,42591
98858,62645
98859,85500
98860,29583
98862,59349
98901,45062
98902,47283
98903,56754
98908,67016
98922,61071
98923,40888
98925,57031
98926,59415
