GEO_ID,NAME,P1_001N
860Z200US83856,ZCTA5 83856,6429
860Z200US98001,ZCTA5 98001,36073
860Z200US98002,ZCTA5 98002,38474
860Z200US98003,ZCTA5 98003,51751
860Z200US98004,ZCTA5 98004,39136
860Z200US98005,ZCTA5 98005,20961
860Z200US98006,ZCTA5 98006,40871
860Z200US98007,ZCTA5 98007,29476
860Z200US98008,ZCTA5 98008,26518
860Z200US98010,ZCTA5 98010,5699
860Z200US98011,ZCTA5 98011,27897
860Z200US98012,ZCTA5 98012,74956
860Z200US98014,ZCTA5 98014,7651
860Z200US98019,ZCTA5 98019,12284
860Z200US98020,ZCTA5 98020,20236
860Z200US98021,ZCTA5 98021,34001
860Z200US98022,ZCTA5 98022,22874
860Z200US98023,ZCTA5 98023,51713
860Z200US98024,ZCTA5 98024,5141
860Z200US98025,ZCTA5 98025,40
860Z200US98026,ZCTA5 98026,38610
860Z200US98027,ZCTA5 98027,29089
860Z200US98028,ZCTA5 98028,23914
860Z200US98029,ZCTA5 98029,31432
860Z200US98030,ZCTA5 98030,38933
860Z200US98031,ZCTA5 98031,43055
860Z200US98032,ZCTA5 98032,38744
860Z200US98033,ZCTA5 98033,41763
860Z200US98034,ZCTA5 98034,51464
860Z200US98036,ZCTA5 98036,42248
860Z200US98037,ZCTA5 98037,29584
860Z200US98038,ZCTA5 98038,37487
860Z200US98039,ZCTA5 98039,2915
860Z200US98040,ZCTA5 98040,25748
860Z200US98042,ZCTA5 98042,49031
860Z200US98043,ZCTA5 98043,21285
860Z200US98045,ZCTA5 98045,15749
860Z200US98047,ZCTA5 98047,6966
860Z200US98050,ZCTA5 98050,223
860Z200US98051,ZCTA5 98051,3802
860Z200US98052,ZCTA5 98052,77176
860Z200US98053,ZCTA5 98053,22523
860Z200US98055,ZCTA5 98055,24458
860Z200US98056,ZCTA5 98056,36344
860Z200US98057,ZCTA5 98057,13493
860Z200US98058,ZCTA5 98058,43630
860Z200US98059,ZCTA5 98059,41672
860Z200US98065,ZCTA5 98065,16292
860Z200US98068,ZCTA5 98068,530
860Z200US98070,ZCTA5 98070,11055
860Z200US98072,ZCTA5 98072,24939
860Z200US98074,ZCTA5 98074,30534
860Z200US98075,ZCTA5 98075,26022
860Z200US98077,ZCTA5 98077,13522
860Z200US98087,ZCTA5 98087,40711
860Z200US98092,ZCTA5 98092,50258
860Z200US98101,ZCTA5 98101,16237
860Z200US98102,ZCTA5 98102,25066
860Z200US98103,ZCTA5 98103,53056
