zip_code,median_household_income,vehicle_count,P1_001N
98001,88962.0,930.0,36073.0
98002,59097.0,355.0,38474.0
98003,59560.0,722.0,51751.0
98004,142173.0,3257.0,39136.0
98005,135225.0,1597.0,20961.0
98006,156382.0,3419.0,40871.0
98007,101847.0,1168.0,29476.0
98008,131952.0,1795.0,26518.0
98010,125652.0,464.0,5699.0
98011,103421.0,1421.0,27897.0
98012,118544.0,4087.0,74956.0
98014,118808.0,424.0,7651.0
98019,142064.0,705.0,12284.0
98020,95682.0,959.0,20236.0
98021,129215.0,2376.0,34001.0
98022,90223.0,423.0,22874.0
98023,82566.0,1064.0,51713.0
98024,158168.0,313.0,5141.0
98026,98415.0,1389.0,38610.0
98027,121620.0,1921.0,29089.0
98028,115093.0,1250.0,23914.0
98029,134424.0,2241.0,31432.0
98030,71014.0,747.0,38933.0
98031,82241.0,1244.0,43055.0
98032,62620.0,771.0,38744.0
98033,137378.0,3590.0,41763.0
98034,100955.0,2767.0,51464.0
98036,82684.0,1400.0,42248.0
98037,82667.0,964.0,29584.0
98038,114804.0,1863.0,37487.0
98039,185163.0,371.0,2915.0
98040,150506.0,2678.0,25748.0
98042,105166.0,1582.0,49031.0
98043,80738.0,569.0,21285.0
98045,111767.0,850.0,15749.0
98047,64942.0,90.0,6966.0
98050,142316.0,2.0,223.0
98051,94453.0,115.0,3802.0
98052,136208.0,5405.0,77176.0
98053,151525.0,2050.0,22523.0
98055,80586.0,766.0,24458.0
98056,95074.0,1484.0,36344.0
98057,57598.0,1208.0,13493.0
98058,92216.0,1525.0,43630.0
98059,109565.0,2379.0,41672.0
98065,150015.0,1009.0,16292.0
98068,97607.0,35.0,530.0
98070,78368.0,741.0,11055.0
98072,127724.0,2847.0,24939.0
98074,196146.0,2959.0,30534.0
98075,188500.0,2462.0,26022.0
98077,160441.0,85.0,13522.0
98087,87320.0,1369.0,40711.0
98092,96121.0,1264.0,50258.0
98101,91550.0,721.0,16237.0
98102,97374.0,929.0,25066.0
98103,105480.0,2542.0,53056.0
98104,58018.0,902.0,16157.0
98105,67449.0,1724.0,49151.0
98106,74608.0,934.0,26295.0
98107,102436.0,1224.0,28557.0
98108,62530.0,842.0,25009.0
98109,107330.0,1593.0,34551.0
98110,125861.0,2015.0,24825.0
98112,122388.0,1692.0,23152.0
98115,117038.0,3182.0,54322.0
98116,121967.0,1359.0,27691.0
98117,131508.0,2081.0,35608.0
98118,85541.0,1834.0,47504.0
98119,93014.0,1048.0,26238.0
